Date,Open,High,Low,Close,Adj Close,Volume
2020-01-13,342.000000,342.000000,339.000000,341.500000,329.350281,30663332
2020-01-14,345.500000,346.000000,344.500000,346.000000,333.690186,30223993
2020-01-15,345.000000,345.000000,337.500000,340.000000,327.903656,47434274
2020-01-16,330.000000,336.500000,330.000000,334.500000,322.599335,55211420
2020-01-17,334.000000,335.500000,332.000000,333.000000,321.152710,52060097
2020-01-20,334.000000,335.500000,333.000000,333.000000,321.152710,32658203
2020-01-30,326.000000,326.000000,316.500000,316.500000,305.239716,125451049
2020-01-31,323.000000,323.500000,319.000000,320.000000,308.615204,62526055
2020-02-03,315.000000,316.500000,312.000000,315.000000,303.793091,59560849
2020-02-04,336.500000,337.000000,325.000000,325.000000,313.437317,51890496
2020-02-05,329.000000,329.500000,324.500000,327.500000,315.848328,36601453
2020-02-06,329.500000,332.500000,329.000000,332.500000,320.670471,29267094
2020-02-07,330.000000,330.500000,326.000000,328.000000,316.330597,28798327
2020-02-10,321.500000,328.000000,321.000000,327.500000,315.848328,30632424
2020-02-11,330.500000,332.500000,330.000000,331.500000,319.706055,27524935
2020-02-12,333.500000,336.000000,333.000000,335.000000,323.081543,37612639
2020-02-13,338.000000,338.000000,335.000000,335.000000,323.081543,22757021
2020-02-14,337.000000,337.000000,334.500000,335.000000,323.081543,16933683
2020-02-17,331.500000,333.000000,330.500000,331.500000,319.706055,15937079
2020-02-18,324.500000,326.500000,322.000000,322.000000,310.544037,61825604
2020-02-19,322.500000,327.000000,322.000000,326.500000,314.883911,38781218
2020-02-20,328.000000,329.000000,325.000000,325.500000,313.919556,27011736
2020-02-21,325.500000,326.500000,323.000000,325.000000,313.437317,22813534
2020-02-24,319.500000,321.500000,319.500000,320.000000,308.615204,41693680
2020-02-25,320.000000,323.500000,317.500000,322.000000,310.544037,36195011
2020-02-26,317.000000,320.500000,316.500000,318.500000,307.168579,60479362
2020-02-27,319.000000,320.000000,315.000000,316.000000,304.757507,61250927
2020-03-02,308.000000,317.000000,308.000000,311.000000,299.935364,79912942
2020-03-03,318.500000,320.000000,316.000000,317.500000,306.204163,49679411
2020-03-04,322.000000,322.000000,317.000000,320.500000,309.097412,42941146
2020-03-05,325.000000,326.000000,323.000000,323.000000,311.508484,37861525
2020-03-06,320.000000,320.500000,315.000000,315.000000,303.793091,51546760
2020-03-09,307.500000,310.000000,305.500000,305.500000,294.631042,87871277
2020-03-10,301.500000,309.000000,301.000000,307.000000,296.077728,71950130
2020-03-11,309.000000,310.500000,302.000000,302.000000,291.255585,62216710
2020-03-12,299.000000,299.000000,287.000000,294.000000,283.540192,113527351
2020-03-13,275.000000,294.000000,272.500000,290.000000,279.682556,149995148
2020-03-16,285.000000,291.000000,275.500000,276.500000,266.662842,103873228
2020-03-17,265.000000,276.500000,265.000000,268.000000,258.465240,121323651
2020-03-18,269.500000,272.500000,260.000000,260.000000,250.749847,117437643
2020-03-19,252.000000,253.000000,235.500000,248.000000,241.498886,160811697
2020-03-20,258.500000,270.000000,256.000000,270.000000,262.922150,157664726
2020-03-23,257.000000,262.500000,252.000000,255.000000,248.315384,76466709
2020-03-24,268.000000,274.000000,266.000000,267.500000,260.487701,81952933
2020-03-25,276.500000,280.000000,274.000000,277.000000,269.738678,79447199
2020-03-26,279.500000,280.000000,275.500000,280.000000,272.660034,52845633
2020-03-27,284.000000,286.000000,273.000000,273.000000,265.843506,68752306
2020-03-30,263.500000,269.000000,262.500000,267.500000,260.487701,49159956
2020-03-31,273.000000,274.000000,269.500000,274.000000,266.817322,48837923
2020-04-01,276.500000,276.500000,271.500000,271.500000,264.382843,44515034
2020-04-06,273.000000,275.500000,270.000000,275.500000,268.277985,56392754
2020-04-07,283.500000,284.000000,280.500000,283.000000,275.581390,48787346
2020-04-08,285.000000,285.500000,283.000000,285.000000,277.528931,37912826
2020-04-09,287.500000,288.000000,282.500000,283.000000,275.581390,27620430
2020-04-10,280.000000,282.000000,279.000000,279.500000,272.173126,27252858
2020-04-13,278.500000,281.500000,278.500000,278.500000,271.199341,22196596
2020-04-14,281.000000,285.500000,280.000000,285.000000,277.528931,48809688
2020-04-15,287.000000,288.500000,286.000000,287.500000,279.963409,55216434
2020-04-16,283.000000,288.500000,283.000000,286.500000,278.989655,47815280
2020-04-17,303.500000,308.500000,300.500000,306.500000,298.465363,116368201
2020-04-20,308.000000,309.000000,302.500000,304.000000,296.030884,41381669
2020-04-21,300.500000,301.500000,293.500000,295.000000,287.266815,61479357
2020-04-22,294.500000,295.000000,290.500000,294.000000,286.293030,42192580
2020-04-23,300.000000,300.000000,294.000000,295.500000,287.753723,39474478
2020-04-24,295.500000,297.000000,294.000000,294.000000,286.293030,26008090
2020-04-27,298.000000,298.500000,296.000000,298.000000,290.188171,38493406
2020-04-28,298.500000,298.500000,294.500000,296.500000,288.727478,37395165
2020-04-29,299.000000,301.500000,298.000000,299.000000,291.161957,44059301
2020-04-30,302.000000,305.000000,301.500000,304.500000,296.517822,55126085
2020-05-04,294.500000,296.500000,294.000000,295.000000,287.266815,71581861
2020-05-05,296.500000,298.000000,295.000000,295.500000,287.753723,23547405
2020-05-06,294.500000,296.000000,292.500000,296.000000,288.240601,34240479
2020-05-07,294.500000,299.000000,294.500000,297.500000,289.701233,27621198
2020-05-08,300.000000,300.000000,296.000000,297.500000,289.701233,32295893
2020-05-11,300.000000,301.500000,298.500000,301.000000,293.109528,28727019
2020-05-12,297.500000,298.500000,295.000000,295.000000,287.266815,52089788
2020-05-13,293.000000,297.000000,292.500000,297.000000,289.214386,26156418
2020-05-14,293.000000,295.000000,292.500000,293.000000,285.319244,34315948
2020-05-15,297.500000,298.500000,294.500000,298.000000,290.188171,42494804
2020-05-18,291.000000,293.500000,290.000000,290.000000,282.397888,84986065
2020-05-19,294.000000,294.000000,291.500000,291.500000,283.858551,51250214
2020-05-20,293.000000,294.000000,291.000000,294.000000,286.293030,32677994
2020-05-21,296.000000,298.000000,295.000000,297.500000,289.701233,30997468
2020-05-22,294.500000,295.000000,291.000000,292.000000,284.345490,40192923
2020-05-25,290.500000,293.000000,288.500000,292.000000,284.345490,26803223
2020-05-26,295.000000,297.500000,293.500000,295.500000,287.753723,33856481
2020-05-27,297.000000,298.000000,295.500000,296.500000,288.727478,23375959
2020-05-28,298.500000,298.500000,293.000000,294.000000,286.293030,28444568
2020-05-29,292.000000,292.500000,290.000000,292.000000,284.345490,79774181
2020-06-01,294.000000,296.500000,293.500000,295.500000,287.753723,35811214
2020-06-02,296.000000,297.500000,296.000000,296.500000,288.727478,24771587
2020-06-03,300.000000,301.000000,298.000000,301.000000,293.109528,65176337
